Date,Time,Reason For Call,Patrol Officer Name/Street,Street/Unit,Unit/Car,Race,Gender,Outcome,Severity
3/8/2020,116,#NAME?,PATROLMAN SCOTT SKORUPSKT,MAIN ST,32,W,F,3,0
3/8/2020,1659,~- MOTOR VEHICLE STOP CITATION - WARNING,PATROL JOHN J MCCONNELL JR,GREEN RIVER RD,38,W,M,3,0
3/8/2020,1742,- MOTOR VEHICLE STOP CITATION - WARNING |,PATROL JOHN J MCCONNELL JR |,GREEN RIVER RD,38,W,M,3,0
3/8/2020,125,#NAME?,PATROLMAN SCOTT SKORUPSKI,MAIN ST,32,U,U,2,0
3/7/2020,27,#NAME?,PATROL KALVIN DZIEDZIAK |,COLD SPRING RD 2,34 |,W,F,3,0
3/7/2020,57,~ MOTOR VEHICLE STOP CITATION ~- WARNING,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,34,W,F,3,0
3/7/2020,1640,#NAME?,NA,MAIN ST,32,W,F,3,0
3/7/2020,2143,#NAME?,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,34 |,W,M,3,0
3/7/2020,219,#NAME?,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,34,W,M,3,0
3/6/2020,2010,- MOTOR VEHICLE STOP CITATION ~ WARNING,PATROL JOHN J MCCONNELL JR,MAIN ST,38,A,F,3,0
3/6/2020,1256,#NAME?,PATROL BRAD SACCO,MAIN ST,35,W,F,5,1
3/6/2020,2040,#NAME?,PATROL JOHN J MCCONNELL JR,NORTH HOOSAC RD,38,W,F,3,0
3/6/2020,1147,#NAME?,PATROL BRAD SACCO,HANCOCK RD,35,W,M,3,0
3/6/2020,1202,#NAME?,PATROL BRAD SACCO,HANCOCK RD,35,W,M,3,0
3/6/2020,1433,#NAME?,CHIEF KYLE J JOHNSON,GREEN RIVER RD,33,W,M,3,0
3/6/2020,1541,#NAME?,PATROL BRAD SACCO,MAIN ST,35,W,M,5,1
3/6/2020,2003,#NAME?,DISPATCHER LAURIE TUPER,HOPPER RD,34,W,M,3,0
3/6/2020,2030,#NAME?,PATROL KALVIN DZIEDZIAK,GREEN RIVER RD,34,W,M,3,0
3/6/2020,1820,#NAME?,PATROL SHUAN N WILLIAM,NORTH HOOSAC RD,32 |,W,M,3,0
3/5/2020,1808,#NAME?,PATROL JOHN J MCCONNELL JR,BRIDGES RD,38,B,F,3,0
3/5/2020,1632,#NAME?,CHIEF KYLE J JOHNSON,NA,33,W,F,3,0
3/5/2020,1408,~- MOTOR VEHICLE STOP CITATION - CIVIL,PATROL BRAD SACCO,NEW ASHFORD RD,35,W,F,4,1
3/5/2020,1732,#NAME?,PATROL JOHN J MCCONNELL JR,NORTH HOOSAC RD,38,W,F,3,0
3/5/2020,26,#NAME?,NA,MAIN ST,32,U,M,3,0
3/5/2020,1631,#NAME?,PATROL BRAD SACCO,COLD SPRING RD,35,W,M,3,0
3/5/2020,1643,#NAME?,PATROL JOHN J MCCONNELL JR,NORTH HOOSAC RD,38,W,M,3,0
3/4/2020,946,#NAME?,PATROL BRAD SACCO,COLD SPRING RD,35,U,F,3,0
3/4/2020,1029,- MOTOR VEHICLE STOP CITATION - WARNING :,PATROL BRAD SACCO,MAIN ST :,35 |,W,F,3,0
3/4/2020,1539,#NAME?,PATROL SHUAN N WILLIAM,MAIN ST,32,W,F,3,0
3/4/2020,2330,#NAME?,NA,COLD SPRING RD |,34 2,W,F,3,0
3/4/2020,1141,#NAME?,PATROL BRAD SACCO,MAIN ST,35,U,M,3,0
3/4/2020,1201,#NAME?,PATROL BRAD SACCO,COLD SPRING RD,35,W,M,3,0
3/4/2020,1504,~ MOTOR VEHICLE STOP CITATION - WARNING,CHIEF KYLE J JOHNSON,HANCOCK RD,33,W,M,3,0
3/4/2020,2014,#NAME?,PATROL KEVIN P GARNER,TACONIC TRL,34,W,M,3,0
3/4/2020,2317,#NAME?,PATROL KEVIN P GARNER,COLD SPRING RD,34,W,M,3,0
3/4/2020,2348,#NAME?,PATROL KALVIN DZIEDZIAK,NEW ASHFORD RD,38,W,M,3,0
3/3/2020,1034,#NAME?,CHIEF KYLE J JOHNSON,MAIN ST,33,W,F,3,0
3/3/2020,1419,#NAME?,CHIEF KYLE J JOHNSON,HANCOCK RD,33,W,F,3,0
3/3/2020,2,#NAME?,PATROL KEVIN P GARNER,COLD SPRING RD,34 |,W,M,3,0
3/3/2020,954,#NAME?,LIEUTENANT MIECHAEL J ZIEMBA Jr,GREEN RIVER RD,33 .,W,M,4,1
3/2/2020,1025,-~ MOTOR VEHICLE STOP CITATION - WARNING,CHIEF KYLE J JOHNSON,GREEN RIVER RD,33,U,F,3,0
3/2/2020,1632,#NAME?,PATROL JOHN J MCCONNELL JR,MAIN ST,38,W,F,4,1
3/2/2020,724,#NAME?,PATROL TANIA HERNANDEZ |,NORTH HOOSAC RD |,36 |,B,M,4,1
3/2/2020,2026,#NAME?,DISPATCHER LAURIE TUPER,STRATTON RD,38,B,M,3,0
3/2/2020,620,#NAME?,PATROL KEVIN P GARNER,COLD SPRING RD,34,W,M,3,0
3/2/2020,1903,#NAME?,PATROL SHUAN N WILLIAM,GREEN RIVER RD,32,W,M,3,0
3/1/2020,1957,#NAME?,PATROL JOHN J MCCONNELL JR,NORTH HOOSAC RD,38,B,F,3,0
3/1/2020,1702,#NAME?,PATROL JOHN J MCCONNELL JR,NA,38,B,M,3,0
2/29/2020,2102,#NAME?,PATROL BRAD SACCO,MAIN ST,34,A,F,5,1
2/29/2020,11,#NAME?,PATROLMAN SCOTT SKORUPSKI,WATER ST,32,W,M,3,0
2/29/2020,1144,#NAME?,PATROL BRAD SACCO,{WIA 333] CHURCH ST,34,W,M,5,1
2/29/2020,1716,#NAME?,PATROL JOHN J MCCONNELL JR,NORTH HOOSAC RD,38,W,M,3,0
2/28/2020,1633,#NAME?,PATROL JOHN J MCCONNELL JR,[WIA 108} NEW ASHFORD RD,34,U,F,3,0
2/28/2020,1721,#NAME?,PATROL BRAD SACCO,HANCOCK RD,34,W,M,3,0
2/27/2020,414,#NAME?,PATROL KALVIN DZIEDZIAK,MAIN sT,38,W,F,3,0
2/27/2020,2044,~- MOTOR VEHICLE STOP CITATION - WARNING,PATROL SHUAN N WILLIAM,MAIN ST,32,W,F,3,0
2/27/2020,2054,#NAME?,PATROL SHUAN N WILLIAM,COLE AVE,32,W,F,3,0
2/27/2020,158,#NAME?,PATROLMAN SCOTT SKORUPSKI,[WIA 61] MAIN ST,32,W,M,3,0
2/27/2020,824,#NAME?,PATROL TANIA HERNANDEZ,SOUTHWORTH ST,36,W,M,3,0
2/27/2020,1343,#NAME?,PATROL BRAD SACCO :,GREEN RIVER RD |,34 |,W,M,3,0
2/27/2020,1446,#NAME?,LIEUTENANT MICHAEL J ZIEMBA Jr,NORTH HOOSAC RD,37K,W,M,3,0
2/26/2020,2121,#NAME?,PATROL JOHN J MCCONNELL JR,MAIN ST,38,W,F,3,0
2/26/2020,912,#NAME?,PATROL DAVID JENNINGS D,MAIN ST,34,W,M,3,0
2/26/2020,1243,~- MOTOR VEHICLE STOP CITATION - WARNING,PATROL BRAD SACCO,NORTH ST,34,W,M,3,0
2/26/2020,2131,#NAME?,PATROL KEVIN P GARNER,HANCOCK RD,34,W,M,3,0
2/26/2020,2150,#NAME?,NA,HANCOCK RD,34,W,M,3,0
2/25/2020,1735,#NAME?,PATROL JOHN J MCCONNELL JR,COLD SPRING RD,38,U,F,3,0
2/25/2020,757,- MOTOR VEHICLE STOP CITATION - WARNING |,SERGEANT SCOTT E MCGOWAN,MAIN ST,36,W,F,3,0
2/25/2020,840,#NAME?,PATROL TANIA HERNANDEZ,SOUTHWORTH ST,36 .,W,F,3,0
2/25/2020,204,#NAME?,PATROL KEVIN P GARNER,NEW ASHFORD RD,34,A,M,3,0
2/24/2020,2050,#NAME?,PATROL JOHN J MCCONNELL JR,MAIN ST,38,U,F,2,0
2/24/2020,2211,- MOTOR VEHICLE STOP CITATION ~- WARNING |,PATROL SHUAN N WILLIAM,MAIN ST,32,W,F,3,0
2/24/2020,26,#NAME?,PATROLMAN SCOTT SKORUPSKI,WATER ST,32,A,M,3,0
2/24/2020,830,#NAME?,PATROL TANIA HERNANDEZ,COLE AVE,36,W,M,3,0
2/24/2020,2108,#NAME?,PATROL JOHN J MCCONNELL JR,MAIN st,38,W,M,3,0
2/23/2020,1435,#NAME?,PATROL BRAD SACCO,COLD SPRING RD,34,U,F,3,0
2/23/2020,1404,- MOTOR VEHICLE STOP CITATION ~ WARNING,PATROL BRAD SACCO,COLD SPRING RD,34,U,M,3,0
2/23/2020,1342,#NAME?,PATROL BRAD SACCO,COLD SPRING RD,34,W,M,3,0
2/23/2020,1706,#NAME?,NA,COLD SPRING RD,38 .,W,M,3,0
2/22/2020,100,~ MOTOR VEHICLE STOP CITATION - WARNING,DISPATCHER LAURIE TUPER,MAIN ST,34,W,F,3,0
2/22/2020,140,#NAME?,PATROL KEVIN P GARNER,NORTH HOOSAC RD,34,W,F,3,0
2/22/2020,1137,#NAME?,PATROL BRAD SACCO,HANCOCK RD,34,W,F,3,0
2/22/2020,145,#NAME?,NA,MAIN ST,32,W,M,3,0
2/21/2020,1856,#NAME?,PATROL BRAD SACCO,COLD SPRING RD,34,W,F,3,0
2/21/2020,1718,#NAME?,PATROL BRAD SACCO,HANCOCK RD,34,U,M,3,0
2/21/2020,20,#NAME?,DISPATCHER LAURIE TUPER,[WIA 390] SIMONDS RD,36,W,M,3,0
2/21/2020,1625,#NAME?,PATROL BRAD SACCO,HANCOCK RD,34,W,M,3,0
2/20/2020,858,#NAME?,PATROL BRAD SACCO,SPRING ST,34,U,F,3,0
2/20/2020,142,#NAME?,PATROL KALVIN DZTEDZIAK,NEW ASHFORD RD,34,W,F,7,1
2/20/2020,937,#NAME?,PATROL BRAD SACCO,HANCOCK RD,34,W,F,3,0
2/20/2020,2107,#NAME?,NA,MAIN ST,36,W,F,3,0
2/20/2020,2015,#NAME?,PATROL DAVID JENNINGS D,NORTH HOOSAC RD,30,W,M,3,0
2/20/2020,821,#NAME?,PATROL TANTA HERNANDEZ,NA,36,W,M,3,0
2/20/2020,1009,- MOTOR VEHICLE STOP CITATION ~- WARNING,PATROL BRAD SACCO,GREEN RIVER RD,34,W,M,3,0
2/20/2020,1959,#NAME?,PATROL KEVIN P GARNER,NEW ASHFORD RD,NA,W,M,3,0
2/19/2020,1703,#NAME?,PATROL KALVIN DZIEDZIAK,MAIN ST,30,W,F,3,0
2/19/2020,2221,#NAME?,PATROL KALVIN DZIEDZIAK,MAIN ST,NA,W,F,3,0
2/19/2020,1630,~ MOTOR VEHICLE STOP CITATION - WARNING,PATROL DAVID JENNINGS D,MAIN ST,30,W,F,3,0
2/19/2020,1911,#NAME?,PATROL DAVID JENNINGS D,COLD SPRING RD,30,W,F,3,0
2/19/2020,1804,#NAME?,PATROL KEVIN P GARNER,WATER ST,34,B,M,3,0
2/19/2020,1742,#NAME?,PATROL KEVIN P GARNER,TACONIC TRL,34,U,M,3,0
2/19/2020,2110,#NAME?,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,30,W,M,3,0
2/19/2020,2123,#NAME?,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,30,W,M,3,0
2/19/2020,1554,#NAME?,PATROL DAVID JENNINGS D,COLD SPRING RD,NA,W,M,3,0
2/19/2020,1644,#NAME?,PATROL DAVID JENNINGS D,MAIN ST,30,W,M,3,0
2/19/2020,1841,- MOTOR VEHICLE STOP CITATION ~ WARNING,PATROL KEVIN P GARNER,MAIN ST,34,W,M,3,0
2/17/2020,2005,~ MOTOR VEHICLE STOP CITATION - WARNING,PATROL BRAD SACCO,MAIN st,34,U,F,3,0
2/17/2020,2116,#NAME?,NA,MAIN ST,38,W,F,4,1
2/17/2020,944,~ MOTOR VEHICLE STOP CITATION - WARNING,PATROL KALVEIN DZITEDZIAK,WATER ST,34,A,M,3,0
2/17/2020,1725,#NAME?,PATROL JOHN J MCCONNELL JR |,BRIDGES RD |,38 |,U,M,3,0
2/17/2020,848,#NAME?,PATROL KALVIN DZIEDZIAK,NA,34,W,M,3,0
2/16/2020,1400,#NAME?,PATROL BRAD SACCO,COLD SPRING RD,34,W,F,3,0
2/15/2020,2039,#NAME?,PATROL KEVIN P GARNER,COLD SPRING RD,NA,W,F,3,0
2/15/2020,2144,#NAME?,PATROL KEVIN P GARNER,WATER ST,34 |,W,F,3,0
2/15/2020,45,#NAME?,PATROL ANTHONY M DUPRAT,WATER ST,30,W,F,3,0
2/15/2020,922,#NAME?,PATROL BRAD SACCO,COLD SPRING RD,34,W,F,3,0
2/15/2020,1127,#NAME?,PATROL BRAD SACCO,MAIN ST,34,W,F,3,0
2/15/2020,1711,#NAME?,PATROL KEVIN P GARNER,TACONIC TRL,34,B,M,3,0
2/15/2020,1255,#NAME?,PATROL BRAD SACCO,MAIN st,34,U,M,3,0
2/15/2020,2353,#NAME?,DISPATCHER LAURIE TUPER,{WIA 1702] CHESTNUT ST,32,W,M,3,0
2/15/2020,46,#NAME?,PATROLMAN SCOTT SKORUPSKI,NA,32,W,M,3,0
2/15/2020,957,#NAME?,PATROL BRAD SACCO,HANCOCK RD,34,W,M,3,0
2/15/2020,1007,~ MOTOR VEHICLE STOP CITATION - WARNING,NA,HANCOCK RD,34,W,M,3,0
2/15/2020,1151,#NAME?,PATROL BRAD SACCO,COLD SPRING RD,34,W,M,3,0
2/15/2020,1812,- MOTOR VEHICLE STOP CITATION ~- WARNING,PATROL KEVIN P GARNER,HANCOCK RD,34,W,M,3,0
2/15/2020,1933,- MOTOR VEHICLE STOP CITATION ~- WARNING,PATROL KEVIN P GARNER,COLD SPRING RD,34,W,M,3,0
2/15/2020,1953,#NAME?,PATROL JOHN J MCCONNELL JR .,NORTH HOOSAC RD,38,W,F,3,0
2/14/2020,925,#NAME?,PATROL BRAD SACCO,GREEN RIVER RD,34 |,U,F,3,0
2/14/2020,1007,#NAME?,PATROL BRAD SACCO,COLD SPRING RD,34,W,F,3,0
2/14/2020,1216,#NAME?,PATROL BRAD SACCO,SIMONDS RD,34,W,F,5,1
2/14/2020,1248,#NAME?,PATROL TANIA HERNANDEZ,MAIN ST,36,W,F,3,0
2/14/2020,1831,#NAME?,PATROL KEVIN P GARNER |,HANCOCK RD |,34 !,W,F,3,0
2/14/2020,2134,#NAME?,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,30 .,W,M,3,0
2/14/2020,846,#NAME?,<U+FFFD> PATROL TANIA HERNANDEZ :,MAIN ST ),36,W,M,3,0
2/14/2020,1849,#NAME?,PATROL KEVIN P GARNER,HANCOCK RD,34,W,M,3,0
2/12/2020,1545,#NAME?,PATROL JOHN J MCCONNELL JR,BRIDGES RD,38,B,M,7,1
2/12/2020,218,#NAME?,PATROLMAN SCOTT SKORUPSKI,MAIN ST,32,U,M,3,0
2/12/2020,724,- MOTOR VEHICLE STOP CITATION ~ WARNING,PATROL TANIA HERNANDEZ,COLD SPRING RD,36,W,M,3,0
2/12/2020,1010,#NAME?,PATROL DAVID JENNINGS D,NEW ASHFORD RD,30,W,M,3,0
2/12/2020,1035,#NAME?,PATROL DAVID JENNINGS D,MAIN ST,30,W,M,3,0
2/12/2020,1813,#NAME?,PATROL KEVIN P GARNER,HANCOCK RD,34,W,M,3,0
2/12/2020,2044,#NAME?,PATROL JOHN J MCCONNELL JR,COLD SPRING RD,38,W,M,3,0
2/11/2020,728,#NAME?,PATROL BRAD SACCO,NEW ASHFORD RD,34,U,F,3,0
2/11/2020,950,~ MOTOR VEHICLE STOP CITATION - WARNING,PATROL DAVID JENNINGS D,MAIN ST,30 },W,F,3,0
2/11/2020,1253,#NAME?,PATROL DAVID JENNINGS D,SIMONDS RD,30,W,F,4,1
2/11/2020,1338,#NAME?,PATROL BRAD SACCO,COLD SPRING RD,34,W,F,3,0
2/11/2020,1424,#NAME?,PATROL DAVID JENNINGS D,COLD SPRING RD,30,W,F,3,0
2/11/2020,1143,#NAME?,PATROL BRAD SACCO,COLD SPRING RD,34,U,M,3,0
2/11/2020,1911,#NAME?,PATROL JOHN J MCCONNELL JR,BRIDGES RD,38,W,M,4,1
2/11/2020,1018,#NAME?,PATROL DAVID JENNINGS D,MAIN ST,30,W,M,3,0
2/11/2020,1046,#NAME?,PATROL BRAD SACCO <U+FFFD>,BEE HILL RD,34,W,M,3,0
2/11/2020,1201,#NAME?,NA,MAIN ST :,30:00:00,W,M,3,0
2/11/2020,1318,#NAME?,PATROL BRAD SACCO,COLD SPRING RD,34,W,U,3,0
2/9/2020,1142,~ MOTOR VEHICLE STOP VEHICLE TOWED,PATROL BRAD SACCO,COLD SPRING RD,34,W,F,5,1
2/9/2020,1808,#NAME?,PATROL KALVIN DZIEDZIAK,MAIN ST,30,W,F,3,0
2/9/2020,2011,#NAME?,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,30,W,F,3,0
2/9/2020,1104,#NAME?,PATROL BRAD SACCO,MAIN ST,34,U,M,3,0
2/9/2020,1019,#NAME?,<U+FFFD> PATROL BRAD SACCO,SIMONDS RD,34,W,M,3,0
2/9/2020,1558,- MOTOR VEHICLE STOP CITATION ~- WARNING,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,30,W,M,3,0
2/9/2020,1833,#NAME?,NA,MAIN ST,30,W,M,3,0
2/8/2020,1616,#NAME?,PATROL BRAD SACCO,MAIN ST,34,W,F,3,0
2/8/2020,2336,#NAME?,PATROL ANTHONY M DUPRAT,COLD SPRING RD,NA,W,F,3,0
2/7/2020,2252,#NAME?,PATROL KALVIN DZIEDZIAK,SPRING ST,30,W,F,3,0
2/7/2020,11,#NAME?,PATROL KEVIN P GARNER,COLD SPRING RD,34 |,W,M,3,0
2/7/2020,924,#NAME?,PATROL TANIA HERNANDEZ,MAIN ST,36,W,M,3,0
2/7/2020,941,- MOTOR VEHICLE STOP CITATION ~ WARNING,PATROL TANIA HERNANDEZ,MAIN ST,36,W,M,3,0
2/7/2020,1121,#NAME?,PATROL TANITA HERNANDEZ,COLD SPRING RD,36,W,M,3,0
2/6/2020,1807,#NAME?,PATROL KALVIN DZTEDZIAK,MAIN ST,30,W,F,3,0
2/6/2020,1822,~ MOTOR VEHICLE STOP CITATION - WARNING,PATROL KALVIN DZIEDZIAK,MAIN ST,30,W,F,3,0
2/6/2020,1841,#NAME?,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,30,W,M,3,0
2/5/2020,2310,#NAME?,PATROLMAN SCOTT SKORUPSKI,WATER ST,32,W,F,3,0
2/4/2020,25,#NAME?,PATROL ANTHONY M DUPRAT,COLD SPRING RD,30,W,M,3,0
2/4/2020,42,- MOTOR VEHICLE STOP CITATION - WARNING |,| PATROL ANTHONY M DUPRAT ',COLD SPRING RD,30 |,W,M,3,0
2/4/2020,2012,#NAME?,PATROL KALVIN DZ2TEDZIAK,COLD SPRING RD,34,W,M,3,0
2/4/2020,2026,#NAME?,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,34 |,W,M,3,0
2/4/2020,2129,#NAME?,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,34,W,M,3,0
2/3/2020,1059,#NAME?,PATROL BRAD SACCO,MAIN ST,34 1,U,F,5,1
2/3/2020,2353,#NAME?,PATROL KALVIN DZIEDZIAK,MAIN ST,34 |,W,M,5,1
2/3/2020,1149,#NAME?,PATROL BRAD SACCO,MAIN ST,34,W,M,3,0
2/2/2020,940,#NAME?,PATROL TANIA HERNANDEZ,NORTH HOOSAC RD,36,B,F,3,0
2/2/2020,1328,#NAME?,PATROL SHUAN N WILLIAM |,MAIN ST,34,U,F,3,0
2/2/2020,6032,#NAME?,NA,COLE AVE,34,W,F,3,0
2/2/2020,2041,#NAME?,PATROL JOHN J MCCONNELL JR,WATER ST,38,W,M,3,0
2/2/2020,34,#NAME?,NA,COLD SPRING RD,30,W,M,3,0
2/2/2020,1013,- MOTOR VEHICLE STOP CITATION ~- WARNING,NA,COLD SPRING RD,34,W,M,3,0
2/2/2020,1721,- MOTOR VEHICLE STOP CITATION - WARNING |,PATROL KEVIN P GARNER,HANCOCK RD,34,W,M,3,0
2/1/2020,145,#NAME?,PATROL KEVIN P GARNER,NEW ASHFORD RD,34,W,F,3,0
2/1/2020,322,~- MOTOR VEHICLE STOP CITATION - WARNING,PATROL KEVIN P GARNER,MAIN ST,34,W,F,3,0
2/1/2020,1638,#NAME?,PATROL JOHN J MCCONNELL JR,COLD SPRING RD |,38 |,W,F,3,0
2/1/2020,1844,#NAME?,PATROL JOHN J MCCONNELL JR,NORTH HOOSAC RD,38,W,F,3,0
2/1/2020,834,-~ MOTOR VEHICLE STOP CITATION - WARNING,PATROL DAVID JENNINGS D,HALEY ST,34,B,M,3,0
2/1/2020,2225,#NAME?,ALL EQUIPMENT POLICE DEPARTMENT |,PARK ST |,34,W,M,3,0
2/1/2020,1346,#NAME?,PATROL DAVID JENNINGS D,MAIN ST,34,W,M,3,0
2/1/2020,1943,#NAME?,PATROL SHUAN N WILLIAM,GREEN RIVER RD,32,W,M,3,0
1/31/2020,1922,#NAME?,PATROL JOHN J MCCONNELL JR,SIMONDS RD,38,W,F,3,0
1/31/2020,2031,#NAME?,PATROL SHUAN N WILLIAM,GREEN RIVER RD,32,W,F,3,0
1/31/2020,57,#NAME?,PATROLMAN SCOTT SKORUPSKI,THOMAS ST,32,W,M,3,0
1/31/2020,1940,#NAME?,PATROL ANTHONY M DUPRAT,COLD SPRING RD,30,W,M,3,0
1/31/2020,2020,#NAME?,PATROL SHUAN N WILLIAM,GREEN RIVER RD,32,W,M,3,0
1/31/2020,2045,#NAME?,PATROL ANTHONY M DUPRAT,NA,NA,W,M,3,0
1/30/2020,16,- MOTOR VEHICLE STOP CITATION - WARNING |,PATROL CRAIG A EICHHAMMER :,COLD SPRING RD :,31,U,F,3,0
1/30/2020,12,#NAME?,PATROLMAN SCOTT SKORUPSKI,WATER ST,32,W,F,3,0
1/30/2020,1119,#NAME?,PATROL BRAD SACCO,HANCOCK RD,34,U,M,3,0
1/30/2020,1830,#NAME?,NA,BRIDGES RD,38,W,M,3,0
1/30/2020,1848,#NAME?,PATROL JOHN J MCCONNELL JR,BRIDGES RD,38,W,M,3,0
1/29/2020,1400,#NAME?,PATROL BRAD SACCO,HANCOCK RD,34,U,F,3,0
1/29/2020,2357,#NAME?,PATROL ANTHONY M DUPRAT,MAIN ST,30,B,M,4,1
1/29/2020,57,#NAME?,PATROL KEVIN P GARNER,COLD SPRING RD,34,W,M,3,0
1/29/2020,1412,~- MOTOR VEHICLE STOP CITATION - WARNING,PATROL BRAD SACCO,HANCOCK RD,34,W,M,3,0
